########################Racial_tech#######################;;;;;;;x,,,,,,,,,,,,,,,,
flavor_tech;Race;;x
flavor_cat_1;Race;;x
flavor_cat_2;Race;;x
flavor_cat_3;Race;;x
flavor_cat_4;Race;;x
flavor_cat_5;Race;;x
flavor_1_1;TBD;;x
flavor_1_2;TBD;;x
flavor_1_3;TBD;;x
flavor_1_4;TBD;;x
flavor_1_5;TBD;;x
flavor_1_6;TBD;;x
flavor_1_7;TBD;;x
flavor_2_1;TBD;;x
flavor_2_2;TBD;;x
flavor_2_3;TBD;;x
flavor_2_4;TBD;;x
flavor_2_5;TBD;;x
flavor_2_6;TBD;;x
flavor_2_7;TBD;;x
flavor_3_1;TBD;;x
flavor_3_2;TBD;;x
flavor_3_3;TBD;;x
flavor_3_4;TBD;;x
flavor_3_5;TBD;;x
flavor_3_6;TBD;;x
flavor_3_7;TBD;;x
flavor_4_1;TBD;;x
flavor_4_2;TBD;;x
flavor_4_3;TBD;;x
flavor_4_4;TBD;;x
flavor_4_5;TBD;;x
flavor_4_6;TBD;;x
flavor_4_7;TBD;;x
flavor_5_1;TBD;;x
flavor_5_2;TBD;;x
flavor_5_3;TBD;;x
flavor_5_4;TBD;;x
flavor_5_5;TBD;;x
flavor_5_6;TBD;;x
flavor_5_7;TBD;;x
